date,open,high,low,close
2007-12-27T00:00:00,925.11,925.11,921.75,921.75
2007-12-28T00:00:00,927.02,927.02,920.72,927.02
2008-01-02T00:00:00,926.01,926.01,921.07,921.07
2008-01-03T00:00:00,915.46,915.46,915.46,908.25
2008-01-04T00:00:00,905.38,905.38,905.38,903.09
2008-01-07T00:00:00,899.53,899.53,899.53,887.08
2008-01-08T00:00:00,899.22,899.22,892.68,893.74
2008-01-09T00:00:00,889.12,889.12,889.12,878.41
2008-01-10T00:00:00,858.58,858.58,858.58,850.07
2008-01-11T00:00:00,867.5,867.5,867.5,860.77
2008-01-14T00:00:00,859.29,859.29,859.29,841.0
2008-01-15T00:00:00,820.2,820.2,820.2,808.83
2008-01-16T00:00:00,846.07,846.07,846.07,846.07
2008-01-17T00:00:00,861.78,861.78,861.78,833.81
2008-01-18T00:00:00,847.05,847.05,847.05,847.05
2008-01-21T00:00:00,839.37,839.37,839.37,833.88
2008-01-22T00:00:00,813.01,813.01,807.74,807.74
2008-01-23T00:00:00,787.12,787.12,775.3,776.68
2008-01-24T00:00:00,790.52,790.52,764.13,764.13
2008-01-25T00:00:00,778.82,778.82,778.82,776.04
2008-01-28T00:00:00,785.07,785.07,785.07,785.07
2008-01-29T00:00:00,811.61,811.61,811.61,811.61
2008-01-30T00:00:00,848.88,848.88,848.88,843.1
2008-01-31T00:00:00,844.11,844.11,844.11,844.11
2008-02-01T00:00:00,859.62,859.62,859.62,859.62
2008-02-12T00:00:00,857.02,857.02,857.02,841.23
2008-02-13T00:00:00,830.77,830.77,830.77,817.86
2008-02-14T00:00:00,832.66,832.66,823.46,823.46
2008-02-15T00:00:00,821.0,821.0,821.0,816.03
2008-02-18T00:00:00,786.45,786.45,786.45,782.57
2008-02-19T00:00:00,780.91,780.91,780.91,776.79
2008-02-20T00:00:00,775.93,775.93,775.93,744.92
2008-02-21T00:00:00,712.27,712.27,712.27,710.45
2008-02-22T00:00:00,687.1,687.1,677.79,687.1
2008-02-25T00:00:00,715.25,715.25,706.0,715.04
2008-02-26T00:00:00,714.86,714.86,714.86,692.91
2008-02-27T00:00:00,704.67,704.67,704.67,686.49
2008-02-28T00:00:00,688.7,688.7,688.7,678.12
2008-02-29T00:00:00,672.15,672.15,672.15,663.3
2008-03-03T00:00:00,646.31,646.31,646.31,635.24
2008-03-04T00:00:00,608.88,608.88,608.88,608.88
2008-03-05T00:00:00,583.45,583.45,583.45,583.45
2008-03-06T00:00:00,611.26,611.26,609.77,611.17
2008-03-07T00:00:00,640.14,640.14,638.23,640.14
2008-03-10T00:00:00,669.24,669.24,669.24,658.29
2008-03-11T00:00:00,643.68,643.68,638.71,638.71
2008-03-12T00:00:00,654.47,654.47,632.08,643.9
2008-03-13T00:00:00,655.18,655.18,655.18,647.6
2008-03-14T00:00:00,643.9,643.9,640.04,643.8
2008-03-17T00:00:00,624.31,624.31,615.71,615.71
2008-03-18T00:00:00,589.57,589.57,588.16,588.26
2008-03-19T00:00:00,592.18,592.18,573.45,573.45
2008-03-20T00:00:00,576.41,576.41,564.82,564.82
2008-03-21T00:00:00,553.69,553.69,545.68,545.68
2008-03-24T00:00:00,525.24,525.24,521.07,521.07
2008-03-25T00:00:00,497.39,497.39,497.39,496.64
2008-03-26T00:00:00,504.78,504.78,495.02,504.67
2008-03-27T00:00:00,508.79,508.79,507.79,508.75
2008-03-28T00:00:00,512.7,512.7,512.3,512.7
2008-03-31T00:00:00,516.85,516.85,516.85,516.85
2008-04-01T00:00:00,520.99,520.99,520.53,520.99
2008-04-02T00:00:00,525.11,525.11,524.38,525.11
2008-04-03T00:00:00,529.23,529.23,528.46,529.23
2008-04-04T00:00:00,533.0,533.0,531.56,533.0
2008-04-07T00:00:00,542.33,542.33,542.33,542.33
2008-04-08T00:00:00,550.68,550.68,550.68,548.56
2008-04-09T00:00:00,552.42,552.42,552.42,552.05
2008-04-10T00:00:00,549.17,549.17,549.17,545.73
2008-04-11T00:00:00,539.01,539.01,539.01,539.01
2008-04-16T00:00:00,531.73,531.73,531.73,531.38
2008-04-17T00:00:00,537.58,537.58,523.45,537.58
2008-04-18T00:00:00,540.08,540.08,540.08,537.31
2008-04-21T00:00:00,534.92,534.92,534.92,534.92
2008-04-22T00:00:00,530.62,530.62,530.62,530.62
2008-04-23T00:00:00,523.6,523.6,523.6,521.95
2008-04-24T00:00:00,518.42,518.42,518.42,518.42
2008-04-25T00:00:00,515.88,515.88,515.88,515.88
2008-04-28T00:00:00,519.62,519.62,514.44,519.42
2008-04-29T00:00:00,524.07,524.07,520.41,522.36
2008-05-05T00:00:00,523.75,523.75,523.75,521.28
2008-05-06T00:00:00,518.35,518.35,518.35,518.35
2008-05-07T00:00:00,515.26,515.26,515.26,515.26
2008-05-08T00:00:00,507.94,507.94,507.94,507.94
2008-05-09T00:00:00,500.33,500.33,499.59,500.33
2008-05-12T00:00:00,493.27,493.27,492.04,492.04
2008-05-13T00:00:00,484.77,484.77,484.77,483.92
2008-05-14T00:00:00,477.29,477.29,477.29,475.5
2008-05-15T00:00:00,468.56,468.56,468.56,466.67
2008-05-16T00:00:00,461.96,461.96,461.96,460.04
2008-05-19T00:00:00,455.67,455.67,453.93,455.67
2008-05-20T00:00:00,450.03,450.03,450.03,449.24
2008-05-21T00:00:00,442.41,442.41,441.53,441.75
2008-05-22T00:00:00,435.73,435.73,434.75,434.75
2008-05-23T00:00:00,428.2,428.2,427.53,428.05
2008-05-26T00:00:00,422.48,422.48,422.48,420.51
2008-05-27T00:00:00,420.51,420.51,420.51,420.51
2008-05-28T00:00:00,420.51,420.51,420.51,420.51
2008-05-29T00:00:00,420.51,420.51,420.51,420.51
2008-05-30T00:00:00,414.14,414.14,413.99,414.1
2008-06-02T00:00:00,408.2,408.2,408.2,407.94
2008-06-03T00:00:00,402.39,402.39,402.39,401.2
2008-06-04T00:00:00,395.66,395.66,395.66,395.66
2008-06-05T00:00:00,390.86,390.86,390.86,390.08
2008-06-06T00:00:00,385.18,385.18,385.18,384.24
2008-06-09T00:00:00,380.23,380.23,380.23,379.12
2008-06-10T00:00:00,374.46,374.46,374.46,373.0
2008-06-11T00:00:00,371.29,371.29,368.06,370.45
2008-06-12T00:00:00,370.55,370.55,370.55,370.55
2008-06-13T00:00:00,373.57,373.57,370.83,372.68
2008-06-16T00:00:00,378.68,378.68,376.23,378.2
2008-06-17T00:00:00,384.72,384.72,384.17,384.71
2008-06-18T00:00:00,389.01,389.01,389.01,382.07
2008-06-19T00:00:00,373.27,373.27,373.27,373.27
2008-06-20T00:00:00,366.04,366.04,366.04,366.02
2008-06-23T00:00:00,369.69,369.69,367.0,368.95
2008-06-24T00:00:00,375.97,375.97,375.97,375.97
2008-06-25T00:00:00,383.78,383.78,382.13,383.78
2008-06-26T00:00:00,392.69,392.69,392.69,386.48
2008-06-27T00:00:00,392.74,392.74,385.21,392.61
2008-06-30T00:00:00,399.4,399.4,394.97,399.4
2008-07-01T00:00:00,409.83,409.83,406.46,409.61
2008-07-02T00:00:00,420.04,420.04,417.22,419.29
2008-07-03T00:00:00,430.13,430.13,430.13,430.05
2008-07-04T00:00:00,441.43,441.43,441.43,439.68
2008-07-07T00:00:00,448.49,448.49,448.49,435.89
2008-07-08T00:00:00,436.71,436.71,436.71,436.71
2008-07-09T00:00:00,440.76,440.76,438.72,439.55
2008-07-10T00:00:00,446.6,446.6,446.6,446.6
2008-07-11T00:00:00,456.64,456.64,453.78,456.64
2008-07-14T00:00:00,467.94,467.94,466.11,467.94
2008-07-15T00:00:00,479.8,479.8,479.8,479.8
2008-07-16T00:00:00,486.74,486.74,486.74,486.53
2008-07-17T00:00:00,493.17,493.17,493.17,489.83
2008-07-18T00:00:00,486.98,486.98,480.09,483.05
2008-07-21T00:00:00,472.95,472.95,472.95,470.82
2008-07-22T00:00:00,461.31,461.31,461.31,457.88
2008-07-23T00:00:00,451.17,451.17,451.17,445.59
2008-07-24T00:00:00,440.9,440.9,440.9,435.79
2008-07-25T00:00:00,429.46,429.46,429.46,429.46
2008-07-28T00:00:00,434.64,434.64,426.23,434.64
2008-07-29T00:00:00,444.78,444.78,443.45,444.4
2008-07-30T00:00:00,448.39,448.39,448.39,448.27
2008-07-31T00:00:00,451.36,451.36,451.36,451.36
2008-08-01T00:00:00,449.86,449.86,449.86,447.11
2008-08-04T00:00:00,440.52,440.52,438.17,439.41
2008-08-05T00:00:00,430.26,430.26,428.63,430.26
2008-08-06T00:00:00,437.45,437.45,431.43,437.45
2008-08-07T00:00:00,446.87,446.87,446.87,438.83
2008-08-08T00:00:00,444.29,444.29,444.29,444.28
2008-08-11T00:00:00,455.08,455.08,455.08,454.8
2008-08-12T00:00:00,464.62,464.62,464.62,459.89
2008-08-13T00:00:00,465.17,465.17,465.17,464.01
2008-08-14T00:00:00,476.5,476.5,476.5,476.5
2008-08-15T00:00:00,489.16,489.16,489.16,488.94
2008-08-18T00:00:00,508.48,508.48,508.48,508.05
2008-08-19T00:00:00,520.51,520.51,520.51,511.53
2008-08-20T00:00:00,514.95,514.95,497.75,508.47
2008-08-21T00:00:00,525.98,525.98,525.98,525.98
2008-08-22T00:00:00,536.61,536.61,536.61,526.98
2008-08-25T00:00:00,548.25,548.25,548.25,548.25
2008-08-26T00:00:00,569.25,569.25,561.67,561.67
2008-08-27T00:00:00,575.71,575.71,561.85,561.85
2008-08-28T00:00:00,551.3,551.3,551.3,547.69
2008-08-29T00:00:00,539.1,539.1,539.1,539.1
2008-09-03T00:00:00,558.87,558.87,552.6,555.14
2008-09-04T00:00:00,558.62,558.62,558.62,558.56
2008-09-05T00:00:00,553.37,553.37,553.37,546.66
2008-09-08T00:00:00,536.1,536.1,526.69,532.71
2008-09-09T00:00:00,541.9,541.9,525.49,525.49
2008-09-10T00:00:00,530.25,530.25,508.69,514.45
2008-09-11T00:00:00,500.14,500.14,496.84,497.01
2008-09-12T00:00:00,479.34,479.34,475.41,476.0
2008-09-15T00:00:00,493.16,493.16,470.38,476.76
2008-09-16T00:00:00,466.16,466.16,466.16,455.95
2008-09-17T00:00:00,438.79,438.79,436.42,437.24
2008-09-18T00:00:00,419.28,419.28,419.28,419.28
2008-09-19T00:00:00,439.06,439.06,434.14,439.06
2008-09-22T00:00:00,459.87,459.87,459.87,459.86
2008-09-23T00:00:00,474.63,474.63,474.63,465.87
2008-09-24T00:00:00,465.62,465.62,465.62,455.05
2008-09-25T00:00:00,470.43,470.43,459.06,470.43
2008-09-26T00:00:00,490.26,490.26,490.26,483.81
2008-09-29T00:00:00,487.24,487.24,472.42,479.0
2008-09-30T00:00:00,457.26,457.26,457.26,456.7
2008-10-01T00:00:00,464.2,464.2,448.03,454.41
2008-10-02T00:00:00,466.76,466.76,454.17,460.25
2008-10-03T00:00:00,456.56,456.56,449.44,452.14
2008-10-06T00:00:00,437.37,437.37,432.12,433.71
2008-10-07T00:00:00,415.12,415.12,413.63,414.24
2008-10-08T00:00:00,402.37,402.37,402.37,401.33
2008-10-09T00:00:00,410.01,410.01,389.98,397.68
2008-10-10T00:00:00,381.9,381.9,381.9,379.06
2008-10-13T00:00:00,381.07,381.07,381.07,371.67
2008-10-14T00:00:00,389.33,389.33,381.94,389.33
2008-10-15T00:00:00,399.86,399.86,399.86,397.15
2008-10-16T00:00:00,388.42,388.42,380.44,384.61
2008-10-17T00:00:00,385.77,385.77,385.77,382.51
2008-10-20T00:00:00,377.99,377.99,377.99,370.8
2008-10-21T00:00:00,379.94,379.94,373.48,379.94
2008-10-22T00:00:00,374.91,374.91,369.88,374.91
2008-10-23T00:00:00,363.17,363.17,359.47,360.43
2008-10-24T00:00:00,348.25,348.25,345.11,345.11
2008-10-27T00:00:00,330.37,330.37,329.04,329.28
2008-10-28T00:00:00,322.8,322.8,313.63,322.8
2008-10-29T00:00:00,336.95,336.95,328.7,331.62
2008-10-30T00:00:00,337.14,337.14,328.2,336.57
2008-10-31T00:00:00,347.05,347.05,342.66,347.05
2008-11-03T00:00:00,351.1,351.1,343.74,348.64
2008-11-04T00:00:00,363.15,363.15,348.57,361.44
2008-11-05T00:00:00,377.83,377.83,377.83,377.83
2008-11-06T00:00:00,388.27,388.27,369.55,379.51
2008-11-07T00:00:00,371.65,371.65,364.99,365.97
2008-11-10T00:00:00,372.27,372.27,365.73,366.0
2008-11-11T00:00:00,356.54,356.54,356.54,351.71
2008-11-12T00:00:00,342.33,342.33,342.33,342.33
2008-11-13T00:00:00,347.57,347.57,334.77,346.24
2008-11-14T00:00:00,356.94,356.94,356.94,352.07
2008-11-17T00:00:00,348.93,348.93,348.93,345.05
2008-11-18T00:00:00,342.0,342.0,342.0,340.69
2008-11-19T00:00:00,342.78,342.78,342.78,336.89
2008-11-20T00:00:00,328.64,328.64,328.64,325.74
2008-11-21T00:00:00,322.35,322.35,315.38,318.96
2008-11-24T00:00:00,322.74,322.74,322.74,317.93
2008-11-25T00:00:00,320.33,320.33,320.33,320.33
2008-11-26T00:00:00,318.19,318.19,318.19,311.74
2008-11-27T00:00:00,309.59,309.59,309.59,303.54
2008-11-28T00:00:00,314.74,314.74,311.36,314.74
2008-12-01T00:00:00,317.37,317.37,317.37,314.71
2008-12-02T00:00:00,307.93,307.93,307.93,307.45
2008-12-03T00:00:00,308.11,308.11,308.11,306.22
2008-12-04T00:00:00,310.85,310.85,306.44,308.6
2008-12-05T00:00:00,303.83,303.83,303.83,299.68
2008-12-08T00:00:00,292.36,292.36,292.36,288.69
2008-12-09T00:00:00,293.3,293.3,285.56,293.3
2008-12-10T00:00:00,290.22,290.22,290.22,286.85
2008-12-11T00:00:00,289.48,289.48,289.48,288.93
2008-12-12T00:00:00,299.54,299.54,295.25,299.54
2008-12-15T00:00:00,308.28,308.28,308.28,308.28
2008-12-16T00:00:00,305.54,305.54,305.54,296.42
2008-12-17T00:00:00,301.77,301.77,293.09,301.02
2008-12-18T00:00:00,305.56,305.56,305.56,305.56
2008-12-19T00:00:00,309.93,309.93,305.43,307.26
2008-12-22T00:00:00,314.76,314.76,310.05,310.05
2008-12-23T00:00:00,304.76,304.76,304.76,303.93
2008-12-24T00:00:00,304.05,304.05,304.05,304.05
2008-12-25T00:00:00,304.37,304.37,304.37,302.19
2008-12-26T00:00:00,304.46,304.46,304.46,304.46
2008-12-29T00:00:00,308.56,308.56,306.45,308.56
2008-12-30T00:00:00,316.32,316.32,316.32,316.32
2008-12-31T00:00:00,318.82,318.82,318.82,315.62
2009-01-02T00:00:00,312.49,313.34,312.18,313.34
2009-01-05T00:00:00,308.77,311.91,308.25,311.91
2009-01-06T00:00:00,312.91,315.02,312.88,314.04
2009-01-07T00:00:00,320.4,322.59,319.29,319.58
2009-01-08T00:00:00,315.92,318.79,313.04,314.15
2009-01-09T00:00:00,313.75,313.82,312.12,313.4
2009-01-12T00:00:00,311.24,312.65,310.33,312.18
2009-01-13T00:00:00,308.57,309.16,306.92,307.13
2009-01-14T00:00:00,306.14,310.33,306.14,307.98
2009-01-15T00:00:00,304.31,305.54,304.01,304.01
2009-01-16T00:00:00,305.72,307.1,305.04,306.12
2009-01-19T00:00:00,305.89,306.38,304.53,304.98
2009-01-20T00:00:00,303.11,303.53,302.74,302.86
2009-01-21T00:00:00,300.92,301.97,300.02,300.04
2009-01-22T00:00:00,300.68,302.29,300.68,301.12
2009-01-23T00:00:00,300.38,303.21,300.38,303.21
2009-02-02T00:00:00,301.12,301.29,297.52,297.52
2009-02-03T00:00:00,291.6,292.18,288.69,288.69
2009-02-04T00:00:00,286.83,290.99,286.11,286.11
2009-02-05T00:00:00,284.34,284.34,277.81,277.81
2009-02-06T00:00:00,279.74,281.63,277.06,281.63
2009-02-09T00:00:00,285.55,287.83,284.29,287.57
2009-02-10T00:00:00,282.82,283.15,281.6,282.02
2009-02-11T00:00:00,275.06,276.71,274.83,276.22
